,naive_bayes,xgboost,svm,distilbert
Accuracy,0.9605263157894737,0.9748803827751196,0.9880382775119617,0.9916267942583732
Precision,1.0,0.9333333333333333,0.9811320754716981,0.972972972972973
Recall,0.7053571428571429,0.875,0.9285714285714286,0.9642857142857143
F1 Score,0.8272251308900523,0.9032258064516129,0.9541284403669725,0.968609865470852
ROC-AUC,0.06864147592738754,0.5822933109707972,0.43403462904498813,0.803756412786109
